pointScore,gameScore,setScore,tiebreakScore,isPointStart,pointStartTime,isPointEnd,pointEndTime,isBreakPoint,shotInRally,side,serverName,firstServeIn,firstServeZone,firstServeXCoord,firstServeYCoord,secondServeIn,secondServeZone,secondServeXCoord,secondServeYCoord,isAce,returnContactX,returnContactY,returnPlacementX,returnPlacementY,shotContactX,shotContactY,shotDirection,shotFhBh,isSlice,isVolley,isOverhead,isApproach,isDropshot,atNetPlayer1,atNetPlayer2,isLob,shotLocationX,shotLocationY,isWinner,isErrorWideR,isErrorWideL,isErrorNet,isErrorLong,pointWonBy,clientTeam,Date,Division,Event,lineupPosition,matchVenue,opponentTeam,player1Name,player2Name,player1Hand,player2Hand,Round,Surface,Notes
30-30,3-2,0-1,NA,NA,NA,NA,NA,NA,3,Ad,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
30-30,3-2,0-1,NA,NA,NA,NA,NA,NA,4,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down the Line,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
30-30,3-2,0-1,NA,NA,NA,1,NA,NA,5,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Backhand,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
40-30,3-2,0-1,NA,1,NA,NA,NA,NA,1,Ad,,1,Wide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
40-30,3-2,0-1,NA,NA,NA,1,NA,NA,2,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down the Line,Backhand,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
40-40,3-2,0-1,NA,1,NA,NA,NA,1,1,Ad,,1,Body,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
40-40,3-2,0-1,NA,NA,NA,NA,NA,NA,2,Ad,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
40-40,3-2,0-1,NA,NA,NA,1,NA,NA,3,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down the Line,Forehand,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
0-0,4-2,0-1,NA,1,NA,NA,NA,NA,1,Deuce,,1,Body,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
0-0,4-2,0-1,NA,NA,NA,NA,NA,NA,2,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
0-0,4-2,0-1,NA,NA,NA,NA,NA,NA,3,Ad,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
0-0,4-2,0-1,NA,NA,NA,NA,NA,NA,4,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down the Line,Forehand,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
0-0,4-2,0-1,NA,NA,NA,NA,NA,NA,5,Ad,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down the Line,Forehand,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
0-0,4-2,0-1,NA,NA,NA,NA,NA,NA,6,Ad,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
0-0,4-2,0-1,NA,NA,NA,1,NA,NA,7,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down the Line,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
0-15,4-2,0-1,NA,1,NA,NA,NA,NA,1,Ad,,1,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
0-15,4-2,0-1,NA,NA,NA,NA,NA,NA,2,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
0-15,4-2,0-1,NA,NA,NA,NA,NA,NA,3,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
0-15,4-2,0-1,NA,NA,NA,1,NA,NA,4,Ad,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down the Line,Backhand,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-15,4-2,0-1,NA,1,NA,NA,NA,NA,1,Deuce,,1,Wide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-15,4-2,0-1,NA,NA,NA,NA,NA,NA,2,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-15,4-2,0-1,NA,NA,NA,1,NA,NA,3,Ad,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-30,4-2,0-1,NA,1,NA,NA,NA,NA,1,Ad,,0,NA,NA,NA,1,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-30,4-2,0-1,NA,NA,NA,NA,NA,NA,2,Ad,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-30,4-2,0-1,NA,NA,NA,NA,NA,NA,3,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down the Line,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-30,4-2,0-1,NA,NA,NA,NA,NA,NA,4,Ad,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down the Line,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-30,4-2,0-1,NA,NA,NA,NA,NA,NA,5,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-30,4-2,0-1,NA,NA,NA,NA,NA,NA,6,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-30,4-2,0-1,NA,NA,NA,NA,NA,NA,7,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-30,4-2,0-1,NA,NA,NA,NA,NA,NA,8,Ad,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down the Line,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-30,4-2,0-1,NA,NA,NA,NA,NA,NA,9,Ad,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-30,4-2,0-1,NA,NA,NA,NA,NA,NA,10,Ad,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-30,4-2,0-1,NA,NA,NA,NA,NA,NA,11,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-30,4-2,0-1,NA,NA,NA,NA,NA,NA,12,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-30,4-2,0-1,NA,NA,NA,NA,NA,NA,13,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-30,4-2,0-1,NA,NA,NA,NA,NA,NA,14,Ad,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-30,4-2,0-1,NA,NA,NA,1,NA,NA,15,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down the Line,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-40,4-2,0-1,NA,1,NA,NA,NA,1,1,Deuce,,1,Body,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-40,4-2,0-1,NA,NA,NA,NA,NA,NA,2,Ad,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-40,4-2,0-1,NA,NA,NA,NA,NA,NA,3,Ad,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-40,4-2,0-1,NA,NA,NA,NA,NA,NA,4,Ad,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-40,4-2,0-1,NA,NA,NA,NA,NA,NA,5,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down the Line,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-40,4-2,0-1,NA,NA,NA,NA,NA,NA,6,Ad,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down the Line,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-40,4-2,0-1,NA,NA,NA,NA,NA,NA,7,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down the Line,Backhand,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-40,4-2,0-1,NA,NA,NA,NA,NA,NA,8,Ad,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down the Line,Backhand,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-40,4-2,0-1,NA,NA,NA,NA,NA,NA,9,Ad,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Backhand,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-40,4-2,0-1,NA,NA,NA,1,NA,NA,10,Ad,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
30-40,4-2,0-1,NA,1,NA,NA,NA,1,1,Ad,,1,Wide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
30-40,4-2,0-1,NA,NA,NA,1,NA,NA,2,Ad,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
0-0,4-3,0-1,NA,1,NA,NA,NA,NA,1,Deuce,,1,Body,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
0-0,4-3,0-1,NA,NA,NA,NA,NA,NA,2,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Forehand,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
0-0,4-3,0-1,NA,NA,NA,1,NA,NA,3,Ad,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down the Line,Backhand,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-0,4-3,0-1,NA,1,NA,NA,NA,NA,1,Ad,,0,NA,NA,NA,1,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-0,4-3,0-1,NA,NA,NA,NA,NA,NA,2,Ad,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Forehand,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-0,4-3,0-1,NA,NA,NA,NA,NA,NA,3,Ad,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
15-0,4-3,0-1,NA,NA,NA,1,NA,NA,4,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down the Line,Forehand,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
30-0,4-3,0-1,NA,1,NA,NA,NA,NA,1,Deuce,,1,Body,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
30-0,4-3,0-1,NA,NA,NA,1,NA,NA,2,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
30-15,4-3,0-1,NA,1,NA,NA,NA,NA,1,Ad,,1,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
30-15,4-3,0-1,NA,NA,NA,NA,NA,NA,2,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down the Line,Forehand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
30-15,4-3,0-1,NA,NA,NA,NA,NA,NA,3,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
30-15,4-3,0-1,NA,NA,NA,NA,NA,NA,4,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Forehand,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
30-15,4-3,0-1,NA,NA,NA,1,NA,NA,5,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Forehand,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
40-15,4-3,0-1,NA,1,NA,NA,NA,NA,1,Deuce,,0,NA,NA,NA,1,Body,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
40-15,4-3,0-1,NA,NA,NA,NA,NA,NA,2,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Down the Line,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
40-15,4-3,0-1,NA,NA,NA,1,NA,NA,3,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Backhand,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
0-0,5-3,0-1,NA,1,NA,NA,NA,NA,1,Deuce,,1,Wide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
0-0,5-3,0-1,NA,NA,NA,NA,NA,NA,2,Deuce,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Crosscourt,Backhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCLA,4/12/24,1,NA,NA,NA,Stanford,Spencer Johnson,Samir Banerjee,Left,Right,NA,NA,NA
